community_id,display_label,n_authors,emotion,score_sd,score_scale
1,General ChatGPT Discussion,44718,anger,0.1644788557075649,raw CardiffNLP multilabel score (0–1)
1,General ChatGPT Discussion,44718,anticipation,0.14059068428258406,raw CardiffNLP multilabel score (0–1)
1,General ChatGPT Discussion,44718,disgust,0.16233588449014752,raw CardiffNLP multilabel score (0–1)
1,General ChatGPT Discussion,44718,fear,0.07985606242712939,raw CardiffNLP multilabel score (0–1)
1,General ChatGPT Discussion,44718,joy,0.20431635018387792,raw CardiffNLP multilabel score (0–1)
1,General ChatGPT Discussion,44718,love,0.054196064210106025,raw CardiffNLP multilabel score (0–1)
1,General ChatGPT Discussion,44718,optimism,0.18163012578451043,raw CardiffNLP multilabel score (0–1)
1,General ChatGPT Discussion,44718,pessimism,0.03761057311208517,raw CardiffNLP multilabel score (0–1)
1,General ChatGPT Discussion,44718,sadness,0.08232061324283889,raw CardiffNLP multilabel score (0–1)
1,General ChatGPT Discussion,44718,surprise,0.05103654179722564,raw CardiffNLP multilabel score (0–1)
1,General ChatGPT Discussion,44718,trust,0.06214418396462052,raw CardiffNLP multilabel score (0–1)
0,Anti-AI-Art Discourse,41574,anger,0.22659355498515713,raw CardiffNLP multilabel score (0–1)
0,Anti-AI-Art Discourse,41574,anticipation,0.1441272979773968,raw CardiffNLP multilabel score (0–1)
0,Anti-AI-Art Discourse,41574,disgust,0.2087065128814696,raw CardiffNLP multilabel score (0–1)
0,Anti-AI-Art Discourse,41574,fear,0.08844131761726419,raw CardiffNLP multilabel score (0–1)
0,Anti-AI-Art Discourse,41574,joy,0.18964330182450984,raw CardiffNLP multilabel score (0–1)
0,Anti-AI-Art Discourse,41574,love,0.07659764565300994,raw CardiffNLP multilabel score (0–1)
0,Anti-AI-Art Discourse,41574,optimism,0.14199409559336226,raw CardiffNLP multilabel score (0–1)
0,Anti-AI-Art Discourse,41574,pessimism,0.04934570715500775,raw CardiffNLP multilabel score (0–1)
0,Anti-AI-Art Discourse,41574,sadness,0.12473074195392315,raw CardiffNLP multilabel score (0–1)
0,Anti-AI-Art Discourse,41574,surprise,0.06104376834522647,raw CardiffNLP multilabel score (0–1)
0,Anti-AI-Art Discourse,41574,trust,0.035967704124149666,raw CardiffNLP multilabel score (0–1)
3,General ChatGPT Debate,17422,anger,0.21469096371431465,raw CardiffNLP multilabel score (0–1)
3,General ChatGPT Debate,17422,anticipation,0.1511033616734117,raw CardiffNLP multilabel score (0–1)
3,General ChatGPT Debate,17422,disgust,0.2022073142016471,raw CardiffNLP multilabel score (0–1)
3,General ChatGPT Debate,17422,fear,0.11002529394932936,raw CardiffNLP multilabel score (0–1)
3,General ChatGPT Debate,17422,joy,0.1930224322250706,raw CardiffNLP multilabel score (0–1)
3,General ChatGPT Debate,17422,love,0.05339670406215187,raw CardiffNLP multilabel score (0–1)
3,General ChatGPT Debate,17422,optimism,0.1665739820497375,raw CardiffNLP multilabel score (0–1)
3,General ChatGPT Debate,17422,pessimism,0.03939507019453291,raw CardiffNLP multilabel score (0–1)
3,General ChatGPT Debate,17422,sadness,0.08777796714080344,raw CardiffNLP multilabel score (0–1)
3,General ChatGPT Debate,17422,surprise,0.05731935466460661,raw CardiffNLP multilabel score (0–1)
3,General ChatGPT Debate,17422,trust,0.05191561064875829,raw CardiffNLP multilabel score (0–1)
8,AI-Art & NFT Posting,12679,anger,0.14234898269839166,raw CardiffNLP multilabel score (0–1)
8,AI-Art & NFT Posting,12679,anticipation,0.14941117817224822,raw CardiffNLP multilabel score (0–1)
8,AI-Art & NFT Posting,12679,disgust,0.13931011513244035,raw CardiffNLP multilabel score (0–1)
8,AI-Art & NFT Posting,12679,fear,0.0652717106512632,raw CardiffNLP multilabel score (0–1)
8,AI-Art & NFT Posting,12679,joy,0.2221423157160731,raw CardiffNLP multilabel score (0–1)
8,AI-Art & NFT Posting,12679,love,0.14196197011936162,raw CardiffNLP multilabel score (0–1)
8,AI-Art & NFT Posting,12679,optimism,0.17553715001313933,raw CardiffNLP multilabel score (0–1)
8,AI-Art & NFT Posting,12679,pessimism,0.032242795939577074,raw CardiffNLP multilabel score (0–1)
8,AI-Art & NFT Posting,12679,sadness,0.07577303746661194,raw CardiffNLP multilabel score (0–1)
8,AI-Art & NFT Posting,12679,surprise,0.051155214095953534,raw CardiffNLP multilabel score (0–1)
8,AI-Art & NFT Posting,12679,trust,0.0562754069276464,raw CardiffNLP multilabel score (0–1)
2,ChatGPT SEO/Content,10348,anger,0.14369034347486984,raw CardiffNLP multilabel score (0–1)
2,ChatGPT SEO/Content,10348,anticipation,0.15834003574378272,raw CardiffNLP multilabel score (0–1)
2,ChatGPT SEO/Content,10348,disgust,0.14419502877703205,raw CardiffNLP multilabel score (0–1)
2,ChatGPT SEO/Content,10348,fear,0.07573760406522642,raw CardiffNLP multilabel score (0–1)
2,ChatGPT SEO/Content,10348,joy,0.2213346629327782,raw CardiffNLP multilabel score (0–1)
2,ChatGPT SEO/Content,10348,love,0.06467681511067809,raw CardiffNLP multilabel score (0–1)
2,ChatGPT SEO/Content,10348,optimism,0.21306174497158675,raw CardiffNLP multilabel score (0–1)
2,ChatGPT SEO/Content,10348,pessimism,0.03545238306019141,raw CardiffNLP multilabel score (0–1)
2,ChatGPT SEO/Content,10348,sadness,0.07976827220994885,raw CardiffNLP multilabel score (0–1)
2,ChatGPT SEO/Content,10348,surprise,0.054355682515432255,raw CardiffNLP multilabel score (0–1)
2,ChatGPT SEO/Content,10348,trust,0.07683682735563108,raw CardiffNLP multilabel score (0–1)
12,"AI Tokens, Launchpads & AI",7502,anger,0.11222433572419642,raw CardiffNLP multilabel score (0–1)
12,"AI Tokens, Launchpads & AI",7502,anticipation,0.13134095950136518,raw CardiffNLP multilabel score (0–1)
12,"AI Tokens, Launchpads & AI",7502,disgust,0.1147207544940481,raw CardiffNLP multilabel score (0–1)
12,"AI Tokens, Launchpads & AI",7502,fear,0.06332985405373817,raw CardiffNLP multilabel score (0–1)
12,"AI Tokens, Launchpads & AI",7502,joy,0.23248086452933134,raw CardiffNLP multilabel score (0–1)
12,"AI Tokens, Launchpads & AI",7502,love,0.08687478733891181,raw CardiffNLP multilabel score (0–1)
12,"AI Tokens, Launchpads & AI",7502,optimism,0.19139267040856123,raw CardiffNLP multilabel score (0–1)
12,"AI Tokens, Launchpads & AI",7502,pessimism,0.029385334673393326,raw CardiffNLP multilabel score (0–1)
12,"AI Tokens, Launchpads & AI",7502,sadness,0.05827144641827354,raw CardiffNLP multilabel score (0–1)
12,"AI Tokens, Launchpads & AI",7502,surprise,0.045087574888356574,raw CardiffNLP multilabel score (0–1)
12,"AI Tokens, Launchpads & AI",7502,trust,0.07661164138324988,raw CardiffNLP multilabel score (0–1)
4,AI/Crypto Launchpads,7497,anger,0.04965780093340833,raw CardiffNLP multilabel score (0–1)
4,AI/Crypto Launchpads,7497,anticipation,0.13565793441842836,raw CardiffNLP multilabel score (0–1)
4,AI/Crypto Launchpads,7497,disgust,0.05219035711061687,raw CardiffNLP multilabel score (0–1)
4,AI/Crypto Launchpads,7497,fear,0.025148197340321334,raw CardiffNLP multilabel score (0–1)
4,AI/Crypto Launchpads,7497,joy,0.14125174683729083,raw CardiffNLP multilabel score (0–1)
4,AI/Crypto Launchpads,7497,love,0.0906435034939442,raw CardiffNLP multilabel score (0–1)
4,AI/Crypto Launchpads,7497,optimism,0.16625799275725187,raw CardiffNLP multilabel score (0–1)
4,AI/Crypto Launchpads,7497,pessimism,0.013246957328471542,raw CardiffNLP multilabel score (0–1)
4,AI/Crypto Launchpads,7497,sadness,0.028693865608802493,raw CardiffNLP multilabel score (0–1)
4,AI/Crypto Launchpads,7497,surprise,0.05056450878157731,raw CardiffNLP multilabel score (0–1)
4,AI/Crypto Launchpads,7497,trust,0.0741771910024354,raw CardiffNLP multilabel score (0–1)
9,AI-Blockchain Promotion,7256,anger,0.1322980521698424,raw CardiffNLP multilabel score (0–1)
9,AI-Blockchain Promotion,7256,anticipation,0.12934502010900525,raw CardiffNLP multilabel score (0–1)
9,AI-Blockchain Promotion,7256,disgust,0.13177784919149366,raw CardiffNLP multilabel score (0–1)
9,AI-Blockchain Promotion,7256,fear,0.059231492168202726,raw CardiffNLP multilabel score (0–1)
9,AI-Blockchain Promotion,7256,joy,0.22580807418146712,raw CardiffNLP multilabel score (0–1)
9,AI-Blockchain Promotion,7256,love,0.07761862186545612,raw CardiffNLP multilabel score (0–1)
9,AI-Blockchain Promotion,7256,optimism,0.21246736243237313,raw CardiffNLP multilabel score (0–1)
9,AI-Blockchain Promotion,7256,pessimism,0.02797726004921908,raw CardiffNLP multilabel score (0–1)
9,AI-Blockchain Promotion,7256,sadness,0.0619326725498256,raw CardiffNLP multilabel score (0–1)
9,AI-Blockchain Promotion,7256,surprise,0.04542089835130823,raw CardiffNLP multilabel score (0–1)
9,AI-Blockchain Promotion,7256,trust,0.08609586069937106,raw CardiffNLP multilabel score (0–1)
16,Data Science/ML Headlines,7132,anger,0.12382053535446509,raw CardiffNLP multilabel score (0–1)
16,Data Science/ML Headlines,7132,anticipation,0.1482236899910391,raw CardiffNLP multilabel score (0–1)
16,Data Science/ML Headlines,7132,disgust,0.12597400766246303,raw CardiffNLP multilabel score (0–1)
16,Data Science/ML Headlines,7132,fear,0.09557212864794354,raw CardiffNLP multilabel score (0–1)
16,Data Science/ML Headlines,7132,joy,0.2144692247569532,raw CardiffNLP multilabel score (0–1)
16,Data Science/ML Headlines,7132,love,0.0757997801221609,raw CardiffNLP multilabel score (0–1)
16,Data Science/ML Headlines,7132,optimism,0.19252032711349978,raw CardiffNLP multilabel score (0–1)
16,Data Science/ML Headlines,7132,pessimism,0.0296171825882295,raw CardiffNLP multilabel score (0–1)
16,Data Science/ML Headlines,7132,sadness,0.06230859592287082,raw CardiffNLP multilabel score (0–1)
16,Data Science/ML Headlines,7132,surprise,0.041819323981940215,raw CardiffNLP multilabel score (0–1)
16,Data Science/ML Headlines,7132,trust,0.07373703329474225,raw CardiffNLP multilabel score (0–1)
7,AI-Art Authenticity Disputes,5490,anger,0.21506678544224161,raw CardiffNLP multilabel score (0–1)
7,AI-Art Authenticity Disputes,5490,anticipation,0.1479852108626439,raw CardiffNLP multilabel score (0–1)
7,AI-Art Authenticity Disputes,5490,disgust,0.2001769251429824,raw CardiffNLP multilabel score (0–1)
7,AI-Art Authenticity Disputes,5490,fear,0.08765346631738966,raw CardiffNLP multilabel score (0–1)
7,AI-Art Authenticity Disputes,5490,joy,0.1919336138223487,raw CardiffNLP multilabel score (0–1)
7,AI-Art Authenticity Disputes,5490,love,0.0720643917218223,raw CardiffNLP multilabel score (0–1)
7,AI-Art Authenticity Disputes,5490,optimism,0.1530626854807017,raw CardiffNLP multilabel score (0–1)
7,AI-Art Authenticity Disputes,5490,pessimism,0.03998745281922133,raw CardiffNLP multilabel score (0–1)
7,AI-Art Authenticity Disputes,5490,sadness,0.1029082604185786,raw CardiffNLP multilabel score (0–1)
7,AI-Art Authenticity Disputes,5490,surprise,0.061272731874285044,raw CardiffNLP multilabel score (0–1)
7,AI-Art Authenticity Disputes,5490,trust,0.04241050914984024,raw CardiffNLP multilabel score (0–1)
10,ChatGPT & AI/Tech News,4542,anger,0.1800418085642411,raw CardiffNLP multilabel score (0–1)
10,ChatGPT & AI/Tech News,4542,anticipation,0.16488906464599384,raw CardiffNLP multilabel score (0–1)
10,ChatGPT & AI/Tech News,4542,disgust,0.17743127971560094,raw CardiffNLP multilabel score (0–1)
10,ChatGPT & AI/Tech News,4542,fear,0.10011859779139905,raw CardiffNLP multilabel score (0–1)
10,ChatGPT & AI/Tech News,4542,joy,0.22622674611295598,raw CardiffNLP multilabel score (0–1)
10,ChatGPT & AI/Tech News,4542,love,0.06956066286876879,raw CardiffNLP multilabel score (0–1)
10,ChatGPT & AI/Tech News,4542,optimism,0.20782851627477192,raw CardiffNLP multilabel score (0–1)
10,ChatGPT & AI/Tech News,4542,pessimism,0.038014469961176724,raw CardiffNLP multilabel score (0–1)
10,ChatGPT & AI/Tech News,4542,sadness,0.0856374627136921,raw CardiffNLP multilabel score (0–1)
10,ChatGPT & AI/Tech News,4542,surprise,0.05215799522150294,raw CardiffNLP multilabel score (0–1)
